player_id,name,team_id,team_name,total_match,catches,caught_behind,run_outs,assist_run_outs,stumpings,caught_and_bowl,total_catches,total_dismissal
20719400,Aamod Kulkarni,4220557,TSGN Royal Warriors,5,0,13,0,0,0,0,13,13
12791022,Chandrashekar Umapathi,7356382,SPVGG Dragons,7,2,7,3,0,0,0,9,12
31631810,Akarsh H,1517508,Frankfurt Spartans Cricket Club,7,4,5,3,0,0,0,9,12
31649154,Smruti Ranjan Panda,7437045,Hawk Hunters,8,1,8,2,0,0,0,9,11
3283067,Umapathy Kumar,3793721,Trebur Cricket Club,6,8,0,1,0,0,0,8,9
10718499,Vaibhav Sareen,806595,Juggernaut Cricket Club,3,1,7,0,0,0,0,8,8
13659583,Sonam,7251731,KK Challengers,4,0,8,0,0,0,0,8,8
33447676,Dantas,7989971,Mainz Cricket Club,5,0,6,2,0,0,0,6,8
5502847,Arpit Samani,9390582,TSGN Royal Lions,8,6,2,0,1,0,0,8,8
41670907,Selvakumar Ramalingam,10472983,FCC Friends XI,3,0,5,2,0,0,0,5,7
31113661,Giriyachar Koppar,7444345,RCB Cricket Club Ruesselsheim,5,0,3,4,0,0,0,3,7
38705667,Jibin Joychan,7436670,Giessener 11,6,5,1,1,0,0,0,6,7
765882,Shibin,1517508,Frankfurt Spartans Cricket Club,7,6,0,1,0,0,0,6,7
36478281,Amal P S,1517508,Frankfurt Spartans Cricket Club,7,5,0,1,0,0,1,6,7
27925432,Neelam Nagaraj,430802,Tgs Indian Challengers,3,5,0,1,0,0,0,5,6
38213103,Indrajeet Rajput,9390582,TSGN Royal Lions,3,0,6,0,0,0,0,6,6
1168467,Sk,7440693,TSV Darmstadt XI,5,0,6,0,0,0,0,6,6
5640040,Chandu Pillalamarri,2623314,TSV Darmstadt United,6,1,4,1,0,0,0,5,6
19059369,Noman Raja,7437045,Hawk Hunters,6,6,0,0,0,0,0,6,6
41561674,Kannan,7436670,Giessener 11,6,6,0,0,0,0,0,6,6
41662831,Ashwin,3793721,Trebur Cricket Club,6,6,0,0,0,0,0,6,6
42452867,Tarun,8001451,Dietzenbacher Cricket Star,6,0,4,2,0,0,0,4,6
12342906,Rahul Shinde,9390582,TSGN Royal Lions,8,6,0,0,0,0,0,6,6
839464,Harender Gupta,7251731,KK Challengers,3,2,0,2,0,0,1,3,5
3173352,Rakesh Thimmegowda,430654,Royal Strikers FFM,3,2,3,0,0,0,0,5,5
5630601,Sunil Patil,2204871,MSC Black Bears,3,0,4,0,0,1,0,4,5
20800224,Parth Patel,4220557,TSGN Royal Warriors,3,5,0,0,0,0,0,5,5
2827167,Uday Kumar Bandaru,10570905,TBG Neulusheim,5,2,2,1,0,0,0,4,5
3279017,Kolla,7440693,TSV Darmstadt XI,5,5,0,0,0,0,0,5,5
19041512,Chakradhar Akkaldevi 15,3793721,Trebur Cricket Club,5,2,3,0,0,0,0,5,5
20713664,Deepak Lamba,7392287,DCC Rising Stars,5,1,2,1,0,1,0,3,5
25317603,Raghu Vinod,7440693,TSV Darmstadt XI,5,2,0,1,0,0,2,4,5
31627777,Nipun K,7392287,DCC Rising Stars,5,5,0,0,0,0,0,5,5
41547112,Jagdish Dattarsingh Rathore,7440693,TSV Darmstadt XI,5,2,3,0,0,0,0,5,5
5677576,Sumanth Pulluru,2623314,TSV Darmstadt United,6,5,0,0,0,0,0,5,5
14946054,Tud Rhythm Chauhan,2623314,TSV Darmstadt United,6,5,0,0,0,0,0,5,5
28329959,Ali Raza,8001451,Dietzenbacher Cricket Star,6,4,0,1,0,0,0,4,5
31982831,Anoop Kiran,7356382,SPVGG Dragons,6,3,1,1,0,0,0,4,5
11066263,H Pavan Kumar,7356382,SPVGG Dragons,7,2,0,2,1,0,1,3,5
31510171,Vaibhav Patil,7437045,Hawk Hunters,7,4,0,0,1,0,1,5,5
3260937,Arpit Jain,9390582,TSGN Royal Lions,8,2,1,2,0,0,0,3,5
5502848,Jitendra Singh,9390582,TSGN Royal Lions,8,4,0,1,0,0,0,4,5
33987148,Sharooz Ahmad,7437045,Hawk Hunters,8,3,0,2,0,0,0,3,5
38218259,Ashutosh Malasi,9390582,TSGN Royal Lions,8,2,3,0,0,0,0,5,5
5655192,Girish Manmode,3793721,Trebur Cricket Club,3,0,3,1,0,0,0,3,4
22372347,Harish Kumar Pula,4674227,BlueWings,3,1,1,2,0,0,0,2,4
27926874,Balaji Sevanan,6269379,TGS Rising Challengers,3,0,4,0,1,0,0,4,4
31655083,Kapil Yadav,7440693,TSV Darmstadt XI,3,4,0,0,0,0,0,4,4
38477826,Mahendra Dewasi,9461015,Ingelheim Cricket Club,3,4,0,0,0,0,0,4,4
41637487,Abdul Junaid,6290732,TSV Frankfurt Garuda,3,0,0,3,0,0,1,1,4
3279377,Akhil Bhadran,7251731,KK Challengers,4,4,0,0,0,0,0,4,4
5894321,Atiq Awan,10472983,FCC Friends XI,4,4,0,0,0,0,0,4,4
3275003,Komal Theja Yedam,10472983,FCC Friends XI,5,3,0,1,0,0,0,3,4
20843255,Harsh Patel,4220557,TSGN Royal Warriors,5,3,0,1,0,0,0,3,4
30968172,Hiru Dobs,10570905,TBG Neulusheim,5,4,0,0,0,0,0,4,4
38213498,Sahil Vashishtha,9390582,TSGN Royal Lions,5,3,0,0,0,0,1,4,4
12797724,Rakesh Kumar Sahoo,3793721,Trebur Cricket Club,6,4,0,0,0,0,0,4,4
13287601,Abhilash Thengullathil,1517508,Frankfurt Spartans Cricket Club,6,3,0,1,0,0,0,3,4
14886437,Anand Reddy Nallapapireddigari,2623314,TSV Darmstadt United,6,4,0,0,1,0,0,4,4
37593419,Shivam Salunkhe,2623314,TSV Darmstadt United,6,4,0,0,0,0,0,4,4
3278086,Dhananjay Shellikeri,9390582,TSGN Royal Lions,8,4,0,0,0,0,0,4,4
